Tunnel 1300.33 0 -1254.79  -0.45507
Pylon 1084.25 0 -2395.81 0 0 0  50 0.8518
Pylon 1173.47 0 -2293.85 0 0 0  50 0.709
Pylon 1173.47 0 -2325.71 0 0 0  50 0.8239
Pylon 1167.1 0 -2351.2 0 0 0  50 0.7504
Pylon 1167.1 0 -2376.69 0 0 0  50 0.97
Pylon 1377.4 0 -2344.83 0 0 0  50 0.8773
Pylon 1377.4 0 -2128.15 0 0 0  50 0.9286
Pylon 1383.78 0 -2007.07 0 0 0  50 0.8965
Pylon 1396.52 0 -1866.87 0 0 0  50 0.823
Pylon 1358.29 0 -2478.66 0 0 0  50 0.8077
Pylon 1351.91 0 -2516.9 0 0 0  50 0.8872
Pylon 1339.17 0 -2548.76 0 0 0  50 0.8611
Pylon 1326.42 0 -2580.62 0 0 0  50 0.8644
Pylon 1300.93 0 -2606.11 0 0 0  50 0.8449
Pylon 1275.44 0 -2631.61 0 0 0  50 0.8785
Pylon 1249.95 0 -2657.1 0 0 0  50 0.7123
Pylon 1211.71 0 -2695.33 0 0 0  50 0.8806
Pylon 1186.22 0 -2701.71 0 0 0  50 0.805
Pylon 1147.98 0 -2720.83 0 0 0  50 0.7873
Pylon 1116.12 0 -2733.57 0 0 0  50 0.9508
Pylon 1097 0 -2765.43 0 0 0  50 0.8122
Pylon 1046.02 0 -2790.93 0 0 0  50 0.706
Pylon 988.663 0 -2803.67 0 0 0  50 0.8788
Pylon 963.172 0 -2810.04 0 0 0  50 0.7063
Pylon 918.562 0 -2822.79 0 0 0  50 0.8044
Pylon 873.952 0 -2848.28 0 0 0  50 0.7597
Pylon 835.716 0 -2873.77 0 0 0  50 0.9004
Pylon 791.106 0 -2880.15 0 0 0  50 0.8452
Pylon 721.005 0 -2892.89 0 0 0  50 0.7843
Pylon 752.869 0 -2892.89 0 0 0  50 0.9202
Pylon 663.65 0 -2912.01 0 0 0  50 0.7159
Pylon 682.768 0 -2905.64 0 0 0  50 0.9997
Pylon 619.04 0 -2924.75 0 0 0  50 0.8254
Pylon 555.312 0 -2931.13 0 0 0  50 0.9814
Pylon 580.803 0 -2931.13 0 0 0  50 0.97
Pylon 517.075 0 -2943.87 0 0 0  50 0.9364
Pylon 466.093 0 -2950.25 0 0 0  50 0.7381
Pylon 415.111 0 -2950.25 0 0 0  50 0.8401
Pylon 376.874 0 -2956.62 0 0 0  50 0.9184
Pylon 345.01 0 -2950.25 0 0 0  50 0.9679
Pylon 300.4 0 -2950.25 0 0 0  50 0.8944
Pylon 274.909 0 -2956.62 0 0 0  50 0.8449
Pylon 249.418 0 -2956.62 0 0 0  50 0.9421
Pylon 1147.98 0 -2459.54 0 0 0  50 0.8263
Pylon 1135.24 0 -2478.66 0 0 0  50 0.793
Pylon 1122.49 0 -2504.15 0 0 0  50 0.8851
Pylon 1097 0 -2529.64 0 0 0  50 0.9439
Pylon 1071.51 0 -2548.76 0 0 0  50 0.8542
Pylon 1052.39 0 -2555.13 0 0 0  50 0.7927
Pylon 1020.53 0 -2580.62 0 0 0  50 0.8848
Pylon 963.172 0 -2599.74 0 0 0  50 0.9805
Pylon 988.663 0 -2587 0 0 0  50 0.8353
Pylon 937.68 0 -2618.86 0 0 0  50 0.88
Pylon 905.816 0 -2631.61 0 0 0  50 0.7747
Pylon 880.325 0 -2650.72 0 0 0  50 0.8557
Pylon 848.461 0 -2663.47 0 0 0  50 0.8668
Pylon 810.224 0 -2682.59 0 0 0  50 0.9394
Pylon 759.242 0 -2701.71 0 0 0  50 0.7909
Pylon 714.632 0 -2727.2 0 0 0  50 0.7672
Pylon 657.277 0 -2733.57 0 0 0  50 0.7024
Pylon 689.141 0 -2733.57 0 0 0  50 0.9532
Pylon 619.04 0 -2746.32 0 0 0  50 0.8827
Pylon 568.058 0 -2752.69 0 0 0  50 0.9967
Pylon 536.194 0 -2771.81 0 0 0  50 0.9106
Pylon -496.2 0 -2555.13 0 0 0  50 0.7585
Pylon -496.2 0 -2593.37 0 0 0  50 0.8455
Pylon -496.2 0 -2625.23 0 0 0  50 0.7279
Pylon -496.2 0 -2663.47 0 0 0  50 0.8029
Pylon -489.828 0 -2695.33 0 0 0  50 0.8569
Pylon -477.082 0 -2727.2 0 0 0  50 0.8761
Pylon -464.336 0 -2759.06 0 0 0  50 0.7942
Pylon -426.099 0 -2797.3 0 0 0  50 0.8509
Pylon -445.218 0 -2784.55 0 0 0  50 0.8344
Pylon -400.608 0 -2822.79 0 0 0  50 0.76
Pylon -355.999 0 -2854.65 0 0 0  50 0.8374
Pylon -298.643 0 -2886.52 0 0 0  50 0.8854
Pylon 223.926 0 -2969.36 0 0 0  50 0.874
Pylon -349.626 0 -2542.39 0 0 0  50 0.9388
Pylon -330.507 0 -2587 0 0 0  50 0.9394
Pylon -305.016 0 -2606.11 0 0 0  50 0.7843
Pylon -279.525 0 -2637.98 0 0 0  50 0.8767
Pylon -247.661 0 -2669.84 0 0 0  50 0.9394
Pylon -209.424 0 -2695.33 0 0 0  50 0.7027
Pylon -918.964 0 -946.059 0 0 0  50 0.7471
Pylon -907.072 0 -898.491 0 0 0  50 0.8416
Pylon 103.754 0 17.199 0 0 0  50 0.8866
Pylon 103.754 0 52.8752 0 0 0  50 0.8614
Pylon 91.862 0 88.5514 0 0 0  50 0.7876
Pylon 68.0779 0 171.796 0 0 0  50 0.7114
Pylon 8.61755 0 219.364 0 0 0  50 0.7537
Pylon -50.8428 0 243.148 0 0 0  50 0.757
Pylon -110.303 0 243.148 0 0 0  50 0.8971
Pylon -181.656 0 243.148 0 0 0  50 0.9874
Pylon -217.332 0 243.148 0 0 0  50 0.7573
Pylon -324.36 0 231.256 0 0 0  50 0.9445
Pylon -288.684 0 231.256 0 0 0  50 0.9664
Pylon -1049.78 0 -934.167 0 0 0  50 0.7468
Pylon -1061.67 0 -874.706 0 0 0  50 0.8533
Pylon -1073.56 0 -827.138 0 0 0  50 0.7606
Pylon -1073.56 0 -779.57 0 0 0  50 0.8902
Pylon -1073.56 0 -696.325 0 0 0  50 0.7816
Pylon 205.012 0 -2788.77 0 0 0  50 0.7165
Pylon 255.466 0 -2788.77 0 0 0  50 0.7984
Pylon 297.51 0 -2780.37 0 0 0  50 0.8938
Pylon 482.508 0 -2780.37 0 0 0  50 0.8086
Pylon 448.872 0 -2788.77 0 0 0  50 0.9658
Pylon 406.827 0 -2771.96 0 0 0  50 0.9625
Pylon 347.964 0 -2788.77 0 0 0  50 0.8299
Pylon 87.2863 0 129.136 0 0 0  50 0.9607
Pylon 36.8325 0 187.999 0 0 0  50 0.7426
Pylon -97.7109 0 3.0014 0 0 0  50 0.9532
Pylon -114.529 0 28.2283 0 0 0  50 0.8248
Pylon -148.165 0 45.0462 0 0 0  50 0.9643
Pylon -190.21 0 45.0462 0 0 0  50 0.9994
Pylon -240.663 0 45.0462 0 0 0  50 0.7966
Tunnel -669.521 0 -181.996  46.3322
Pylon -403.458 0 -57.0915 0 0 0  50 0.8953
Pylon -376.137 0 -29.7707 0 0 0  50 0.7063
Pylon -355.647 0 -16.1103 0 0 0  50 0.9097
Pylon -335.156 0 4.38028 0 0 0  50 0.8671
Pylon -260.024 0 38.5313 0 0 0  50 0.8428
Pylon -546.892 0 72.6823 0 0 0  50 0.9676
Pylon -519.571 0 93.1729 0 0 0  50 0.8167
Pylon -499.081 0 113.664 0 0 0  50 0.7225
Pylon -471.76 0 140.984 0 0 0  50 0.9136
Pylon -444.439 0 161.475 0 0 0  50 0.88
Pylon -417.118 0 181.966 0 0 0  50 0.853
Pylon -382.967 0 202.456 0 0 0  50 0.7009
Pylon -321.496 0 222.947 0 0 0  50 0.9607
Pylon -232.703 0 243.437 0 0 0  50 0.9583
Pylon -150.74 0 243.437 0 0 0  50 0.9064
Pylon -82.4385 0 250.268 0 0 0  50 0.8203
Pylon -14.1365 0 250.268 0 0 0  50 0.9367
Pylon -936.214 0 -289.318 0 0 0  50 0.7765
Pylon -956.704 0 -316.639 0 0 0  50 0.8269
Pylon -977.195 0 -350.79 0 0 0  50 0.7006
Pylon -1004.52 0 -371.281 0 0 0  50 0.8755
Pylon -1025.01 0 -398.602 0 0 0  50 0.7546
Pylon -1031.84 0 -419.092 0 0 0  50 0.7855
Pylon -1045.5 0 -453.243 0 0 0  50 0.7264
Pylon -1052.33 0 -501.055 0 0 0  50 0.8278
Pylon -1059.16 0 -555.696 0 0 0  50 0.8851
Pylon -1065.99 0 -603.508 0 0 0  50 0.9271
Pylon -1079.65 0 -651.319 0 0 0  50 0.9496
Pylon -792.779 0 -453.243 0 0 0  50 0.9796
Pylon -813.27 0 -480.564 0 0 0  50 0.7507
Pylon -826.93 0 -507.885 0 0 0  50 0.7462
Pylon -840.591 0 -535.206 0 0 0  50 0.9163
Pylon -854.251 0 -569.357 0 0 0  50 0.7567
Pylon -874.742 0 -630.828 0 0 0  50 0.9928
Pylon -881.572 0 -671.81 0 0 0  50 0.7987
Pylon -888.402 0 -705.961 0 0 0  50 0.8104
Pylon -888.402 0 -733.281 0 0 0  50 0.9076
Pylon -895.232 0 -774.263 0 0 0  50 0.8275
Pylon -902.063 0 -822.074 0 0 0  50 0.8665
Pylon -908.893 0 -869.885 0 0 0  50 0.8302
Pylon -314.665 0 11.2105 0 0 0  50 0.8647
Pylon -287.345 0 24.8709 0 0 0  50 0.8323
Pylon -1048.04 0 -1380.98 0 0 0  50 0.8536
Pylon -1040.19 0 -1420.21 0 0 0  50 0.7435
Pylon -1032.34 0 -1467.29 0 0 0  50 0.718
Pylon -1024.5 0 -1506.52 0 0 0  50 0.9154
Pylon -1000.96 0 -1553.59 0 0 0  50 0.9259
Pylon -961.731 0 -1584.97 0 0 0  50 0.7417
Pylon -906.81 0 -1608.51 0 0 0  50 0.8269
Pylon -867.581 0 -1616.36 0 0 0  50 0.7837
Pylon -828.352 0 -1639.9 0 0 0  50 0.9988
Pylon -796.969 0 -1647.74 0 0 0  50 0.9061
Pylon -757.739 0 -1647.74 0 0 0  50 0.8587
Pylon -702.818 0 -1647.74 0 0 0  50 0.8647
Pylon -671.435 0 -1655.59 0 0 0  50 0.8311
Pylon -498.827 0 -2040.03 0 0 0  50 0.9598
Pylon -357.601 0 -2094.95 0 0 0  50 0.9847
Pylon -898.964 0 -1380.98 0 0 0  50 0.7579
Pylon -867.581 0 -1412.37 0 0 0  50 0.7585
Pylon -828.352 0 -1435.9 0 0 0  50 0.7891
Pylon -773.431 0 -1459.44 0 0 0  50 0.8248
Pylon -498.827 0 -1522.21 0 0 0  50 0.7858
Pylon -262.388 0 -2923.21 0 0 0  50 0.7315
Pylon -230.916 0 -2944.91 0 0 0  50 0.8464
Pylon -182.181 0 -2989.59 0 0 0  50 0.7846
Pylon -125.323 0 -3013.96 0 0 0  50 0.8365
Pylon -105.017 0 -3034.26 0 0 0  50 0.9202
Pylon -68.4655 0 -3046.45 0 0 0  50 0.7342
Pylon -206.548 0 -2965.22 0 0 0  50 0.9103
Pylon -153.752 0 -2997.71 0 0 0  50 0.7948
Pylon -105.017 0 -3034.26 0 0 0  50 0.9013
Pylon -27.8529 0 -3050.51 0 0 0  50 0.9358
Pylon 37.1273 0 -3062.69 0 0 0  50 0.7789
Pylon 12.7598 0 -3054.57 0 0 0  50 0.7939
Pylon 74.0869 0 -3061.75 0 0 0  50 0.8065
Pylon 107.075 0 -3061.75 0 0 0  50 0.7555
Pylon 133.465 0 -3055.16 0 0 0  50 0.7159
Pylon 179.648 0 -3035.36 0 0 0  50 0.9736
Pylon 192.843 0 -3015.57 0 0 0  50 0.9424
Pylon 206.038 0 -3002.38 0 0 0  50 0.9496
Pylon 219.233 0 -2989.18 0 0 0  50 0.9835
Pylon 153.257 0 -3055.16 0 0 0  50 0.7939
Pylon -209.607 0 -2685.7 0 0 0  50 0.9268
Pylon -145.629 0 -2709.36 0 0 0  50 0.7963
Pylon -96.8943 0 -2709.36 0 0 0  50 0.8674
Pylon -44.0979 0 -2701.24 0 0 0  50 0.8938
Pylon -44.0979 0 -2701.24 0 0 0  50 0.9946
Pylon -11.6078 0 -2697.18 0 0 0  50 0.8443
Pylon 24.9435 0 -2693.12 0 0 0  50 0.7432
Pylon 57.4336 0 -2697.18 0 0 0  50 0.7588
Pylon 100.477 0 -2692.29 0 0 0  50 0.7666
Pylon 140.062 0 -2705.49 0 0 0  50 0.7387
Pylon 166.452 0 -2718.68 0 0 0  50 0.7483
Pylon 192.843 0 -2751.67 0 0 0  50 0.8605
Pylon 219.233 0 -2778.06 0 0 0  50 0.835
Pylon -24.8762 0 -2870.43 0 0 0  50 0.7519
Pylon -31.4738 0 -2857.23 0 0 0  50 0.8398
Pylon -18.2787 0 -2870.43 0 0 0  50 0.7132
Pylon -5.0836 0 -2857.23 0 0 0  50 0.8977
Pylon 1.51394 0 -2890.22 0 0 0  50 0.7876
Pylon -38.0713 0 -2877.02 0 0 0  50 0.8317
Pylon -493.302 0 -1973.16 0 0 0  50 0.7759
Pylon -466.911 0 -1933.58 0 0 0  50 0.7072
Pylon -447.119 0 -1893.99 0 0 0  50 0.7462
Pylon -407.534 0 -1867.6 0 0 0  50 0.853
Pylon -361.351 0 -1861 0 0 0  50 0.9235
Pylon -321.766 0 -1861 0 0 0  50 0.8947
Pylon -288.778 0 -1874.2 0 0 0  50 0.7558
Pylon -268.985 0 -1874.2 0 0 0  50 0.7939
Pylon -242.595 0 -1874.2 0 0 0  50 0.8422
Pylon -216.205 0 -1874.2 0 0 0  50 0.7066
Pylon -196.412 0 -1874.2 0 0 0  50 0.7504
Pylon -150.229 0 -1880.8 0 0 0  50 0.7054
Pylon -104.047 0 -1887.39 0 0 0  50 0.9361
Pylon -71.059 0 -1893.99 0 0 0  50 0.9715
Pylon -18.2787 0 -1900.59 0 0 0  50 0.9874
Pylon -334.961 0 -2065.53 0 0 0  50 0.8173
Pylon -321.766 0 -2039.14 0 0 0  50 0.7606
Pylon -282.18 0 -2052.33 0 0 0  50 0.8875
Pylon -295.375 0 -2032.54 0 0 0  50 0.8431
Pylon -262.388 0 -2045.73 0 0 0  50 0.8242
Pylon -216.205 0 -2039.14 0 0 0  50 0.7942
Pylon -150.229 0 -2045.73 0 0 0  50 0.9472
Pylon -104.047 0 -2052.33 0 0 0  50 0.8002
Pylon -183.217 0 -2045.73 0 0 0  50 0.9622
Pylon -84.2541 0 -2052.33 0 0 0  50 0.8116
Pylon -51.2664 0 -2065.53 0 0 0  50 0.7477
Pylon -31.4738 0 -2091.92 0 0 0  50 0.9499
Pylon -18.2787 0 -2131.5 0 0 0  50 0.721
Pylon -11.6811 0 -2190.88 0 0 0  50 0.8461
Pylon -11.6811 0 -2250.26 0 0 0  50 0.7891
Pylon -5.0836 0 -2283.25 0 0 0  50 0.8554
Pylon -5.0836 0 -2322.83 0 0 0  50 0.7531
Pylon 8.11148 0 -2388.81 0 0 0  50 0.9319
Pylon 34.5016 0 -2434.99 0 0 0  50 0.781
Pylon 80.6844 0 -2487.77 0 0 0  50 0.9289
Pylon 120.27 0 -2514.16 0 0 0  50 0.9004
Pylon 146.66 0 -2527.35 0 0 0  50 0.7576
Pylon 179.648 0 -2527.35 0 0 0  50 0.9955
Pylon 206.038 0 -2527.35 0 0 0  50 0.7306
Pylon 272.013 0 -2533.95 0 0 0  50 0.844
Pylon 232.428 0 -2533.95 0 0 0  50 0.7639
Pylon 311.598 0 -2540.55 0 0 0  50 0.8881
Pylon 384.171 0 -2533.95 0 0 0  50 0.9406
Pylon 436.952 0 -2533.95 0 0 0  50 0.7297
Pylon 549.11 0 -2507.56 0 0 0  50 0.8581
Pylon 483.134 0 -2520.76 0 0 0  50 0.8875
Pylon 516.122 0 -2520.76 0 0 0  50 0.8629
Pylon 568.902 0 -2494.37 0 0 0  50 0.9772
Pylon 582.097 0 -2487.77 0 0 0  50 0.7069
Pylon 608.488 0 -2461.38 0 0 0  50 0.9916
Pylon 628.28 0 -2441.59 0 0 0  50 0.7183
Pylon 634.878 0 -2415.2 0 0 0  50 0.7543
Pylon 634.878 0 -2375.61 0 0 0  50 0.7009
Pylon 621.683 0 -2336.03 0 0 0  50 0.8296
Pylon 21.3066 0 -1926.98 0 0 0  50 0.8515
Pylon 60.8918 0 -1959.97 0 0 0  50 0.8779
Pylon 74.0869 0 -1999.55 0 0 0  50 0.9175
Pylon 87.282 0 -2039.14 0 0 0  50 0.7093
Pylon 100.477 0 -2085.32 0 0 0  50 0.8476
Pylon 100.477 0 -2124.9 0 0 0  50 0.7426
Pylon 107.075 0 -2157.89 0 0 0  50 0.7666
Pylon 120.27 0 -2197.48 0 0 0  50 0.7858
Pylon 120.27 0 -2243.66 0 0 0  50 0.7192
Pylon 126.867 0 -2276.65 0 0 0  50 0.97
Pylon 146.66 0 -2329.43 0 0 0  50 0.7561
Pylon 166.452 0 -2375.61 0 0 0  50 0.808
Pylon 192.843 0 -2388.81 0 0 0  50 0.8239
Pylon 232.428 0 -2402 0 0 0  50 0.9922
Pylon 258.818 0 -2402 0 0 0  50 0.781
Pylon 291.806 0 -2408.6 0 0 0  50 0.751
Pylon 337.988 0 -2408.6 0 0 0  50 0.7705
Pylon 384.171 0 -2395.4 0 0 0  50 0.9499
Pylon 423.756 0 -2382.21 0 0 0  50 0.9133
Pylon 456.744 0 -2375.61 0 0 0  50 0.928
Pylon 483.134 0 -2355.82 0 0 0  50 0.9688
Pylon 483.134 0 -2342.62 0 0 0  50 0.9001
StopSign 318.196 125 -1649.88  -200.772
Pylon 344.586 0 -1920.38 0 0 0  50 0.7855
Pylon 331.391 0 -1900.59 0 0 0  50 0.865
Pylon 324.793 0 -1880.8 0 0 0  50 0.742
Pylon 305.001 0 -1841.21 0 0 0  50 0.9082
Pylon 291.806 0 -1821.42 0 0 0  50 0.9085
Pylon 278.611 0 -1795.03 0 0 0  50 0.8872
Pylon 272.013 0 -1755.44 0 0 0  50 0.7057
Pylon 272.013 0 -1722.45 0 0 0  50 0.7375
Pylon 285.208 0 -1696.06 0 0 0  50 0.8728
Pylon 311.598 0 -1669.67 0 0 0  50 0.9082
Pylon 337.988 0 -1663.08 0 0 0  50 0.8974
Pylon 364.379 0 -1643.28 0 0 0  50 0.7906
Pylon 390.769 0 -1616.89 0 0 0  50 0.8113
Pylon 410.561 0 -1597.1 0 0 0  50 0.8398
Pylon 436.952 0 -1564.11 0 0 0  50 0.9034
Pylon 463.342 0 -1880.8 0 0 0  50 0.9271
Pylon 450.147 0 -1854.41 0 0 0  50 0.751
